"","eeacellcode","specieskey","species","countrycode","basisofrecord","count"
"1","10kmE634N156","3048831","Cakile maritima","IL",NA,1
"2","10kmE659N151","3048831","Cakile maritima","CY",NA,1
"3","10kmE726N90","3048831","Cakile maritima","TR",NA,1
"4","10kmE727N120","3048831","Cakile maritima","TR",NA,1
"5","10kmE734N122","3048831","Cakile maritima","TR",NA,1
"6","10kmE738N88","3048831","Cakile maritima","EL",NA,1
"7","10kmE739N119","3048831","Cakile maritima","TR",NA,1
"8","10kmE757N133","3048831","Cakile maritima","RO",NA,1
"9","10kmE758N134","3048831","Cakile maritima","RO",NA,1
"10","10kmE759N135","3048831","Cakile maritima","RO",NA,1
"11","10kmE760N135","3048831","Cakile maritima","RO",NA,3
"12","10kmE761N136","3048831","Cakile maritima","RO",NA,3
"13","10kmE762N136","3048831","Cakile maritima","RO",NA,1
"14","10kmE762N137","3048831","Cakile maritima","RO",NA,1
"15","10kmE764N137","3048831","Cakile maritima","RO",NA,1
"16","10kmE764N149","3048831","Cakile maritima","RO",NA,1
"17","10kmE765N141","3048831","Cakile maritima","RO",NA,1
"18","10kmE766N149","3048831","Cakile maritima","RO",NA,1
