"eeacellcode","specieskey","countrycode","basisofrecord","count"
"10kmE193N93","3048831","ES",NA,1
"10kmE242N106","3048831","MA",NA,1
"10kmE269N180","3048831","PT",NA,1
"10kmE274N498","3048831","IS",NA,1
"10kmE276N211","3048831","PT",NA,1
"10kmE279N173","3048831","ES",NA,1
"10kmE280N232","3048831","ES",NA,1
"10kmE286N164","3048831","ES",NA,1
"10kmE298N239","3048831","ES",NA,1
"10kmE302N159","3048831","ES",NA,1
"10kmE309N236","3048831","ES",NA,1
"10kmE310N159","3048831","ES",NA,1
"10kmE319N157","3048831","ES",NA,1
"10kmE325N344","3048831","IE",NA,1
"10kmE331N232","3048831","ES",NA,1
"10kmE333N279","3048831","FR",NA,1
"10kmE338N311","3048831","GB",NA,1
"10kmE343N244","3048831","FR",NA,1
"10kmE345N263","3048831","FR",NA,1
"10kmE345N355","3048831","GB",NA,1
"10kmE347N287","3048831","FR",NA,1
"10kmE351N197","3048831","ES",NA,1
"10kmE351N296","3048831","FR",NA,1
"10kmE355N374","3048831","GB",NA,1
"10kmE357N309","3048831","GB",NA,1
"10kmE364N309","3048831","GB",NA,1
"10kmE368N206","3048831","ES",NA,1
"10kmE370N303","3048831","FR",NA,1
"10kmE385N225","3048831","FR",NA,1
"10kmE385N314","3048831","NL",NA,1
"10kmE394N327","3048831","NL",NA,1
"10kmE403N224","3048831","FR",NA,1
"10kmE412N337","3048831","DE",NA,1
"10kmE421N345","3048831","DE",NA,1
"10kmE426N177","3048831","IT",NA,1
"10kmE427N356","3048831","DK",NA,1
"10kmE429N447","3048831","NO",NA,1
"10kmE433N149","3048831","TN",NA,1
"10kmE433N226","3048831","IT",NA,1
"10kmE434N222","3048831","IT",NA,1
"10kmE435N345","3048831","DE",NA,1
"10kmE437N116","3048831","TN",NA,1
"10kmE441N213","3048831","IT",NA,1
"10kmE447N346","3048831","DE",NA,1
"10kmE449N235","3048831","IT",NA,1
"10kmE453N201","3048831","IT",NA,1
"10kmE454N344","3048831","DE",NA,1
"10kmE458N248","3048831","IT",NA,1
"10kmE458N366","3048831","SE",NA,1
"10kmE459N224","3048831","IT",NA,1
"10kmE461N200","3048831","IT",NA,1
"10kmE468N166","3048831","IT",NA,1
"10kmE473N234","3048831","HR",NA,1
"10kmE475N206","3048831","IT",NA,1
"10kmE484N180","3048831","IT",NA,1
"10kmE487N170","3048831","IT",NA,1
"10kmE487N192","3048831","IT",NA,1
"10kmE493N182","3048831","IT",NA,1
"10kmE493N196","3048831","IT",NA,1
"10kmE502N536","3048831","NO",NA,1
"10kmE519N186","3048831","GR",NA,1
"10kmE530N168","3048831","GR",NA,1
"10kmE538N192","3048831","GR",NA,1
"10kmE542N167","3048831","GR",NA,1
"10kmE546N201","3048831","GR",NA,1
"10kmE548N179","3048831","GR",NA,1
"10kmE562N206","3048831","GR",NA,1
"10kmE570N196","3048831","TR",NA,1
"10kmE578N255","3048831","RO",NA,1
"10kmE579N248","3048831","RO",NA,1
"10kmE579N250","3048831","RO",NA,1
"10kmE579N251","3048831","RO",NA,2
"10kmE579N252","3048831","RO",NA,2
"10kmE579N253","3048831","RO",NA,1
"10kmE579N254","3048831","RO",NA,2
"10kmE580N247","3048831","RO",NA,1
"10kmE580N251","3048831","RO",NA,1
"10kmE580N259","3048831","RO",NA,1
"10kmE581N222","3048831","TR",NA,1
"10kmE584N264","3048831","RO",NA,1
"10kmE585N262","3048831","RO",NA,1
"10kmE586N219","3048831","TR",NA,1
"10kmE588N211","3048831","TR",NA,1
"10kmE645N160","3048831","CY",NA,1
"10kmE662N137","3048831","IL",NA,1
