"","eeacellcode","yearmonth","basisofrecord","datasetkey","countrycode","occurrences","isCitizenScience","year","month","Floppy"
"1","","2023-11","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2023,11,NA
"2","","2023-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2023,10,NA
"3","","2023-08","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2023,8,NA
"4","","2023-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2023,8,NA
"5","","2023-06","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2023,6,NA
"6","","2023-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2023,6,NA
"7","","2023-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2023,5,NA
"8","","2023-04","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2023,4,NA
"9","","2023-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",5,1,2023,3,NA
"10","","2023-02","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",3,1,2023,2,NA
"11","","2023-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2023,2,NA
"12","","2023-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",3,1,2023,1,NA
"13","","2022-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",3,1,2022,12,NA
"14","","2022-11","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",3,1,2022,11,NA
"15","","2022-11","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2022,11,NA
"16","","2022-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",4,1,2022,8,NA
"17","","2022-07","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2022,7,NA
"18","","2022-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2022,7,NA
"19","","2022-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2022,6,NA
"20","","2022-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",4,1,2022,5,NA
"21","","2022-04","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2022,4,NA
"22","","2022-04","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2022,4,NA
"23","","2022-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2022,3,NA
"24","","2022-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",3,1,2022,1,NA
"25","","2022-01","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2022,1,NA
"26","","2021-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2021,12,NA
"27","","2021-11","HUMAN_OBSERVATION","28b85661-dc35-4dfc-acb3-6f0dc34ee716","RU",1,0,2021,11,NA
"28","","2021-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2021,10,NA
"29","","2021-09","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2021,9,NA
"30","","2021-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2021,9,NA
"31","","2021-08","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2021,8,NA
"32","","2021-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2021,7,NA
"33","","2021-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2021,6,NA
"34","","2021-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2021,5,NA
"35","","2020-08","HUMAN_OBSERVATION","28b85661-dc35-4dfc-acb3-6f0dc34ee716","RU",1,0,2020,8,NA
"36","","2020-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2020,8,NA
"37","","2020-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2020,6,NA
"38","","2020-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2020,5,NA
"39","","2020-04","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2020,4,NA
"40","","2020-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2020,3,NA
"41","","2020-03","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2020,3,NA
"42","","2020-02","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2020,2,NA
"43","","2020-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2020,1,NA
"44","","2019-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2019,10,NA
"45","","2019-05","HUMAN_OBSERVATION","28b85661-dc35-4dfc-acb3-6f0dc34ee716","RU",1,0,2019,5,NA
"46","","2019-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2019,3,NA
"47","","2019-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2019,1,NA
