yearmonth	eeacellcode	basisofrecord	datasetkey	countrycode	occurrences	isCitizenScience	year	month
2024-03	10kmE264N197	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	1	1	2024	03
2024-03	10kmE269N175	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	7	1	2024	03
2024-03	10kmE274N213	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	1	1	2024	03
2024-03	10kmE279N236	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE285N166	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE287N160	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE299N161	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE326N164	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE352N199	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE357N205	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE362N205	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE363N205	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE364N205	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	3	1	2024	03
2024-03	10kmE366N206	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE375N213	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	ES	1	1	2024	03
2024-03	10kmE375N221	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	1	1	2024	03
2024-03	10kmE383N229	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	1	1	2024	03
2024-03	10kmE386N227	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	1	1	2024	03
2024-03	10kmE391N226	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	1	1	2024	03
2024-03	10kmE405N226	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	2	1	2024	03
2024-03	10kmE427N217	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	FR	2	1	2024	03
2024-03	10kmE465N200	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	IT	1	1	2024	03
2024-03	10kmE471N144	HUMAN_OBSERVATION	50c9509d-22c7-4a22-a47d-8c48425ef4a7	MT	2	1	2024	03
